,ccd,qid,rcid,field
254771.0,8,2,29,282
254771.0,13,2,49,1274
254772.0,1,4,3,281
254772.0,4,3,14,282
254772.0,9,3,34,1274
254773.0,6,2,21,1184
254773.0,14,2,53,146
254774.0,5,1,16,232
254774.0,8,2,29,233
254774.0,13,2,49,1227
254775.0,3,4,11,1429
254775.0,12,4,47,384
254776.0,4,2,13,1767
254776.0,9,2,33,728
254777.0,4,1,12,1275
254777.0,9,1,32,233
254778.0,6,3,22,1185
254778.0,15,4,59,147
254779.0,8,3,30,542
254780.0,3,1,8,1274
254780.0,11,2,41,233
254781.0,3,4,11,71
254781.0,6,1,20,1075
254782.0,3,4,11,281
254782.0,16,2,61,233
254783.0,1,4,3,1323
254783.0,4,3,14,1324
254784.0,3,2,9,282
254784.0,12,1,44,1275
254785.0,6,4,23,1637
254786.0,7,2,25,187
254786.0,16,1,60,1185
254787.0,4,3,14,436
254787.0,5,2,17,1429
254787.0,14,1,52,384
254788.0,6,1,20,383
254788.0,14,3,54,1376
254789.0,5,2,17,186
254789.0,14,1,52,1184
254790.0,7,4,27,276
254790.0,10,2,37,1269
254791.0,1,1,0,539
254791.0,4,2,13,540
254791.0,9,3,34,1534
254792.0,1,3,2,188
254792.0,10,3,38,1186
254793.0,7,1,24,1274
254793.0,15,3,58,233
254794.0,6,3,22,281
254794.0,15,4,59,1274
254795.0,6,4,23,232
254795.0,14,3,54,1227
254796.0,7,3,26,1274
254797.0,8,1,28,108
254797.0,16,2,61,1109
254798.0,5,3,18,1274
254799.0,7,1,24,46
254799.0,14,2,53,1053
254800.0,5,4,19,1324
254800.0,8,3,30,1325
254801.0,1,4,3,231
254801.0,4,3,14,232
254801.0,9,3,34,1226
254802.0,7,1,24,1274
254802.0,15,2,57,233
254803.0,1,4,3,1252
254803.0,4,3,14,1253
254803.0,14,2,53,1207
254804.0,10,1,36,1274
254805.0,5,4,19,281
254805.0,8,3,30,282
254806.0,5,2,17,232
254806.0,14,1,52,1227
254807.0,1,1,0,281
254807.0,4,2,13,282
254808.0,2,3,6,1274
254808.0,11,4,43,233
254809.0,2,1,4,1274
254809.0,10,2,37,233
254810.0,2,3,6,1323
254810.0,11,4,43,281
254811.0,4,1,12,281
254811.0,9,1,32,1273
254811.0,12,2,45,1274
254812.0,3,2,9,1324
254812.0,12,1,44,282
254813.0,4,2,13,436
254813.0,9,2,33,1429
254814.0,3,3,10,281
254814.0,12,4,47,1274
254814.0,13,1,48,232
254815.0,6,3,22,1274
254815.0,15,4,59,233
254816.0,5,1,16,280
254816.0,13,2,49,1273
254817.0,4,2,13,233
254817.0,9,2,33,1227
254818.0,3,1,8,233
254818.0,11,3,42,1228
254819.0,4,4,15,332
254819.0,9,4,35,1323
254819.0,12,3,46,1324
254820.0,4,3,14,1274
254820.0,9,3,34,232
254821.0,3,4,11,1274
254821.0,11,3,42,233
254822.0,1,4,3,1183
254822.0,4,3,14,1184
254822.0,9,4,35,145
254822.0,12,3,46,146
254823.0,12,1,44,233
254824.0,9,2,33,281
254825.0,7,2,25,1324
254825.0,16,1,60,282
254826.0,1,1,0,381
254826.0,10,1,36,1374
254827.0,8,4,31,234
254827.0,13,4,51,1228
254828.0,8,4,31,1324
254828.0,13,4,51,281
254828.0,16,3,62,282
254829.0,10,2,37,233
254830.0,6,2,21,234
254830.0,15,3,58,1229
254831.0,2,4,7,1226
254831.0,10,3,38,186
254832.0,7,3,26,67
254832.0,9,1,32,1071
254832.0,12,2,45,1072
254833.0,5,3,18,72
254833.0,8,3,30,73
254833.0,16,4,63,1077
254834.0,3,4,11,1274
254834.0,11,3,42,233
254835.0,3,1,8,1184
254835.0,11,1,40,146
254836.0,3,4,11,1274
254836.0,11,3,42,233
254837.0,7,4,27,1089
254837.0,13,3,50,56
254838.0,2,3,6,1274
254838.0,11,4,43,233
254839.0,6,1,20,1075
254839.0,16,4,63,45
254840.0,1,1,0,1226
254840.0,4,2,13,1227
254840.0,9,1,32,186
254841.0,8,2,29,1274
254841.0,13,1,48,232
254842.0,2,2,5,1227
254842.0,11,1,40,187
254843.0,5,3,18,233
254844.0,3,4,11,1481
254844.0,12,4,47,436
254845.0,5,1,16,1226
254845.0,8,2,29,1227
254845.0,13,1,48,186
254846.0,5,2,17,1274
254846.0,14,2,53,233
254847.0,9,1,32,1274
254848.0,8,1,28,233
254848.0,13,1,48,1227
254849.0,3,3,10,1325
254849.0,8,1,28,283
254849.0,13,1,48,1275
254850.0,7,4,27,1324
254850.0,16,4,63,282
254851.0,6,2,21,281
254851.0,15,1,56,1274
254852.0,4,2,13,1805
254852.0,9,4,35,768
254852.0,12,3,46,769
254853.0,1,4,3,73
254853.0,4,4,15,74
254853.0,12,4,47,1078
254854.0,2,2,5,1481
254854.0,11,2,41,436
254855.0,10,3,38,1144
254856.0,6,2,21,1275
254856.0,15,1,56,234
254857.0,3,4,11,1142
254857.0,10,4,39,107
254858.0,4,1,12,1108
254858.0,11,1,40,74
254859.0,9,2,33,1227
254860.0,1,2,1,1371
254860.0,10,4,39,328
254861.0,1,2,1,1274
254861.0,10,2,37,233
254862.0,7,3,26,1143
254862.0,14,3,54,108
254863.0,10,1,36,436
254864.0,3,1,8,1325
254864.0,12,1,44,283
254865.0,6,4,23,1376
254865.0,14,3,54,333
254866.0,6,2,21,1324
254866.0,15,4,59,282
254867.0,3,3,10,233
254867.0,8,1,28,1228
254867.0,13,1,48,187
254867.0,16,2,61,188
254868.0,5,3,18,1323
254868.0,14,4,55,281
254869.0,3,2,9,1322
254869.0,12,1,44,280
